$ dieharder -a -g 201 -f rnd-openssl.bin 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  3.64e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.52347831|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.85506307|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.44497313|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.59159784|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.93364837|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.76551226|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.60439843|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.21325872|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.66467983|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.72222623|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.12242429|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.86501866|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.23046987|  PASSED  
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.35974667|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.30990257|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.86666427|  PASSED  
        diehard_runs|   0|    100000|     100|0.33469363|  PASSED  
# The file file_input_raw was rewound 5 times
       diehard_craps|   0|    200000|     100|0.76239270|  PASSED  
       diehard_craps|   0|    200000|     100|0.96286316|  PASSED  
# The file file_input_raw was rewound 13 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06380593|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.18229274|  PASSED  
# The file file_input_raw was rewound 13 times
         sts_monobit|   1|    100000|     100|0.99937613|   WEAK   
# The file file_input_raw was rewound 13 times
            sts_runs|   2|    100000|     100|0.97407464|  PASSED  
# The file file_input_raw was rewound 13 times
